date,unconditional_average_rain,conditional_average_rain,accumlated_rain,satellite_flag
2025-05-21 14:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-21 15:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-21 16:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-21 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 19:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 20:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-21 21:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-21 22:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-21 23:00,0.0000,-999,0.0000,11000000000000000010000000100000
2025-05-22 00:00,0.0000,-999,0.0000,11000000000001000010000000000000
2025-05-22 01:00,0.0000,-999,0.0000,11000000000001000000000000100000
2025-05-22 02:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-22 03:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-22 04:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-22 05:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 06:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 07:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 08:00,0.0000,-999,0.0000,11000000000000010000000000000000
2025-05-22 09:00,0.0000,-999,0.0000,11000000000000000010000000000000
2025-05-22 10:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 11:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 12:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 13:00,0.0000,-999,0.0000,11000000000001000000000000000000
2025-05-22 14:00,0.0000,-999,0.0000,11000000000000100000000000000000
2025-05-22 15:00,0.0000,-999,0.0000,11000000000001100000000000000000
2025-05-22 16:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 17:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 18:00,0.0000,-999,0.0000,11000000000000000000000000000000
2025-05-22 19:00,0.0000,-999,0.0000,11000000000000010000000000000000
